,pm2d5(μg/m3),pm10(μg/m3),co(mg/m3),so2(μg/m3),no2(μg/m3),o3(μg/m3),voc(ppm),温度(℃),湿度(%),风向,风速(10m/s)
2025/2/19 11:34,0,0,-3.19,34.7,225.4,958,1.97,16.1,33.6,,
2025/2/19 11:34,0,0,-0.79,42.9,295.2,770.9,1.875,16.1,33.7,,
2025/2/19 11:34,2,2,-0.08,35.5,315.3,621.4,1.707,16.1,33.9,,
2025/2/19 11:34,5,7,0.52,31.6,334,441.4,1.532,16.1,34.1,,
2025/2/19 11:34,9,11,1.07,33,326.6,340,1.436,16.2,34.3,,
2025/2/19 11:34,13,15,1.26,29.6,307.9,290.7,1.353,16.2,34.6,,
2025/2/19 11:34,17,19,1.31,24.6,306.2,228.2,1.314,16.2,34.9,,
2025/2/19 11:34,29,34,1.31,21.1,286.5,182.2,1.25,16.3,35.1,,
2025/2/19 11:34,39,48,1.37,19.6,281.1,147,1.201,16.3,35.4,,
2025/2/19 11:35,44,55,1.42,16.6,271,134.1,1.176,16.3,35.6,,
2025/2/19 11:35,46,58,1.43,13.7,258.1,116.8,1.139,16.3,35.9,,
2025/2/19 11:35,47,59,1.44,12.4,246.9,100.8,1.102,16.4,36.2,,
2025/2/19 11:35,47,60,1.43,10,245.4,87,1.082,16.4,36.4,,
2025/2/19 11:35,48,60,1.38,7.3,246.5,71.9,1.059,16.4,36.7,,
2025/2/19 11:35,50,62,1.36,4.9,238.4,58.4,1.029,16.4,36.9,,
2025/2/19 11:35,51,64,1.38,11.2,236.9,49.5,1.006,16.4,37.1,,
2025/2/19 11:35,52,64,1.31,18.4,243.7,45.3,0.995,16.5,37.3,,
2025/2/19 11:35,51,62,1.34,19.7,238.1,37,0.975,16.5,37.6,,
2025/2/19 11:35,51,62,1.38,20.1,220.1,42.2,0.956,16.5,37.8,,
2025/2/19 11:35,50,61,1.35,21.1,215.8,32.8,0.941,16.6,38,,
2025/2/19 11:35,50,61,1.34,21.3,230.2,19.5,0.933,16.6,38.2,,
2025/2/19 11:35,50,61,1.35,21,231.3,20.4,0.918,16.6,38.4,,
2025/2/19 11:35,50,61,1.32,21,225.8,22.6,0.904,16.6,38.6,,
2025/2/19 11:35,50,62,1.32,20.5,218.3,24.6,0.897,16.6,38.8,,
2025/2/19 11:35,52,64,1.29,20,210.6,21.5,0.887,16.7,39,,
2025/2/19 11:35,51,63,1.34,20,222,11,0.874,16.7,39.2,,
2025/2/19 11:35,52,64,1.29,19.3,226.3,4.1,0.868,16.7,39.3,,
2025/2/19 11:35,51,64,1.29,18.8,209,11.4,0.861,16.7,39.5,,
2025/2/19 11:35,52,66,1.34,18.8,212.8,12.6,0.851,16.8,39.7,,
2025/2/19 11:36,53,67,1.28,17.9,213.2,12.7,0.843,16.8,39.9,,
2025/2/19 11:36,53,66,1.26,17.2,213.9,13,0.839,16.8,40,,
2025/2/19 11:36,52,64,1.26,16.5,209.5,13.8,0.833,16.8,40.2,,
2025/2/19 11:36,50,61,1.25,16.3,203.9,16.7,0.826,16.9,40.3,,
2025/2/19 11:36,51,62,1.24,16.1,214.1,6.8,0.82,16.9,40.4,,
2025/2/19 11:36,50,61,1.17,15.1,215.4,2.6,0.818,16.9,40.6,,
2025/2/19 11:36,50,61,1.22,14.9,209.2,5.3,0.811,16.9,40.7,,
2025/2/19 11:36,51,63,1.22,14.7,212.4,-5.2,0.808,16.9,40.8,,
2025/2/19 11:36,51,63,1.22,14.7,206.9,5.6,0.801,17,41,,
2025/2/19 11:36,51,62,1.17,13.7,205.5,6.5,0.799,17,41,,
2025/2/19 11:36,51,63,1.17,13.6,208.2,3.4,0.796,17,41.2,,
2025/2/19 11:36,50,61,1.2,13.7,207.8,-1.3,0.793,17,41.3,,
2025/2/19 11:36,51,62,1.17,13.7,204.1,-0.3,0.791,17.1,41.5,,
2025/2/19 11:36,51,62,1.14,13.3,207.4,0.5,0.786,17.1,41.5,,
2025/2/19 11:36,52,63,1.13,12.8,209.3,-3.1,0.782,17.1,41.6,,
2025/2/19 11:36,52,63,1.16,12.8,205.2,-3.7,0.781,17.1,41.7,,
2025/2/19 11:36,50,62,1.2,13.2,202.1,0.6,0.778,17.1,41.8,,
2025/2/19 11:36,51,63,1.1,12.2,202.4,1.1,0.775,17.2,41.9,,
2025/2/19 11:36,51,63,1.12,12.2,209.6,-6.8,0.772,17.2,42,,
2025/2/19 11:36,51,63,1.1,11.9,213.8,-12.9,0.768,17.2,42.1,,
2025/2/19 11:37,51,63,1.1,11.4,205.8,-6,0.766,17.2,42.1,,
2025/2/19 11:37,50,61,1.13,12,216.4,-6.4,0.763,17.3,42.3,,
2025/2/19 11:37,51,63,1.1,11.6,202.2,0.6,0.762,17.3,42.3,,
2025/2/19 11:37,52,64,1.09,11.3,202.8,-8.5,0.76,17.3,42.4,,
2025/2/19 11:37,51,63,1.07,10.9,198.6,-3.6,0.758,17.3,42.5,,
