,pm2d5(μg/m3),pm10(μg/m3),co(mg/m3),so2(μg/m3),no2(μg/m3),o3(μg/m3),voc(ppm),温度(℃),湿度(%),风向,风速(10m/s)
2025/2/14 11:06,3,3,-2.1,13.8,-10.3,1154.6,1.923,12.5,31.8,,
2025/2/14 11:06,13,14,-0.01,20.8,159.2,861.9,1.748,12.5,32,,
2025/2/14 11:06,27,28,0.53,15.4,205.6,675.8,1.664,12.5,32.2,,
2025/2/14 11:06,36,42,1.03,14.3,262.3,485.4,1.548,12.6,32.7,,
2025/2/14 11:06,38,46,1.3,13.8,286.8,377.9,1.453,12.6,33.1,,
2025/2/14 11:06,39,47,1.36,9.9,285.8,317.8,1.409,12.6,33.5,,
2025/2/14 11:06,40,49,1.51,7.7,279.1,255.8,1.347,12.7,34,,
2025/2/14 11:06,40,49,1.55,6,284.9,205.8,1.284,12.7,34.4,,
2025/2/14 11:06,41,49,1.64,4.2,285.2,177.3,1.241,12.7,34.8,,
2025/2/14 11:06,42,50,1.6,0.9,283.4,149.5,1.217,12.7,35.3,,
2025/2/14 11:06,42,51,1.58,-1.5,272,119,1.176,12.8,35.7,,
2025/2/14 11:06,42,50,1.61,-2.5,266.2,108.8,1.142,12.8,36.2,,
2025/2/14 11:06,41,50,1.62,-4.5,262,99.6,1.124,12.8,36.5,,
2025/2/14 11:06,42,50,1.63,-6.4,264.7,78,1.099,12.8,37,,
2025/2/14 11:06,42,51,1.65,-7.6,263,62.5,1.072,12.9,37.4,,
2025/2/14 11:06,42,51,1.62,-3.7,259.1,56,1.059,12.9,37.7,,
2025/2/14 11:06,42,52,1.56,6.2,256.4,50.6,1.039,12.9,38.1,,
2025/2/14 11:06,43,52,1.58,7.8,251.4,46.4,1.016,12.9,38.4,,
2025/2/14 11:07,43,53,1.61,10.7,248.3,41,1.003,13,38.8,,
2025/2/14 11:07,43,52,1.56,12.8,250.3,32.3,0.99,13,39.1,,
2025/2/14 11:07,43,52,1.57,13.8,251.1,29.4,0.981,13,39.4,,
2025/2/14 11:07,44,52,1.57,13.6,256.3,23.1,0.968,13,39.8,,
2025/2/14 11:07,44,52,1.57,14.2,260.4,17.4,0.956,13.1,40,,
2025/2/14 11:07,44,54,1.54,14.2,248.3,22.2,0.95,13.1,40.3,,
2025/2/14 11:07,45,55,1.56,14,249,17.1,0.939,13.1,40.7,,
2025/2/14 11:07,44,54,1.61,14.4,240.6,19,0.928,13.1,40.9,,
2025/2/14 11:07,44,54,1.59,14,232.5,19,0.924,13.2,41.1,,
2025/2/14 11:07,46,56,1.59,13.5,227,12.4,0.917,13.2,41.3,,
2025/2/14 11:07,45,55,1.53,12.6,223.6,10.8,0.907,13.2,41.5,,
2025/2/14 11:07,45,55,1.62,13.1,214.2,14.2,0.901,13.2,41.7,,
2025/2/14 11:07,46,56,1.55,12.5,200.5,28.3,0.896,13.3,41.9,,
2025/2/14 11:07,45,56,1.54,11.8,224.8,12.2,0.889,13.3,42.1,,
2025/2/14 11:07,45,57,1.55,11.6,236,6.3,0.883,13.3,42.3,,
2025/2/14 11:07,46,58,1.57,11.4,213.2,20.1,0.879,13.3,42.4,,
2025/2/14 11:07,46,58,1.55,11.2,213.1,18.8,0.873,13.3,42.6,,
2025/2/14 11:07,45,56,1.51,10.8,224,13.4,0.869,13.3,42.7,,
2025/2/14 11:07,45,54,1.51,10.7,218,14.5,0.863,13.4,42.9,,
2025/2/14 11:07,45,54,1.51,9.8,210.7,13.2,0.861,13.4,43,,
2025/2/14 11:08,45,54,1.47,9,209.1,13.4,0.861,13.4,43.2,,
2025/2/14 11:08,46,55,1.49,9.5,213.7,13.3,0.854,13.4,43.3,,
2025/2/14 11:08,46,56,1.49,9.6,217.1,13.8,0.848,13.4,43.4,,
2025/2/14 11:08,46,55,1.51,9.4,235.5,8.9,0.845,13.5,43.5,,
2025/2/14 11:08,45,54,1.49,9.1,234.8,0.7,0.84,13.5,43.7,,
2025/2/14 11:08,44,54,1.46,9,234.8,-0.3,0.836,13.5,43.8,,
2025/2/14 11:08,44,54,1.45,8.5,225.1,6.3,0.834,13.5,44,,
2025/2/14 11:08,44,53,1.43,8.3,223.1,6.8,0.829,13.6,44.2,,
2025/2/14 11:08,44,54,1.4,8.3,229.6,0.7,0.824,13.6,44.3,,
2025/2/14 11:08,44,55,1.42,8.3,236.8,-6.1,0.821,13.6,44.4,,
2025/2/14 11:08,44,55,1.41,8.1,244.1,-8.3,0.818,13.6,44.6,,
2025/2/14 11:08,44,54,1.39,8.1,242.2,-5.9,0.815,13.6,44.7,,
2025/2/14 11:08,44,54,1.37,7.5,248,-11.9,0.811,13.7,44.8,,
2025/2/14 11:08,43,53,1.41,7.7,237.5,-5.6,0.809,13.7,45,,
