,pm2d5(μg/m3),pm10(μg/m3),co(mg/m3),so2(μg/m3),no2(μg/m3),o3(μg/m3),voc(ppm),温度(℃),湿度(%),风向,风速(10m/s)
2025/2/13 0:00,31.5,33.45,1.161,12.905000000000001,125.80500000000002,9.755,0.5125999999999998,21.34499999999999,40.86499999999999,,
2025/2/13 0:00,32,33,1.19,13.4,122.4,13.9,0.511,21.3,41,,
2025/2/13 0:00,32,33,1.17,12.9,114.5,20.4,0.511,21.3,40.9,,
2025/2/13 0:00,31,32,1.16,12.8,128.5,3.7,0.511,21.3,40.9,,
2025/2/13 0:00,31,33,1.16,12.9,126.6,7.4,0.511,21.3,40.9,,
2025/2/13 0:00,32,33,1.19,13.1,123.6,9.8,0.514,21.3,40.9,,
2025/2/13 0:00,31,32,1.2,13.2,137,-1.5,0.519,21.3,40.9,,
2025/2/13 0:00,30,32,1.15,12.9,130.8,5.4,0.516,21.3,40.9,,
2025/2/13 0:00,30,32,1.19,13.4,120.6,18.6,0.511,21.3,40.9,,
2025/2/13 0:00,32,34,1.18,13,116.1,19,0.519,21.3,40.8,,
2025/2/13 0:00,31,33,1.16,12.3,125.4,5.2,0.519,21.3,40.9,,
2025/2/13 0:00,30,32,1.16,12.6,134.9,-6.8,0.511,21.3,40.9,,
2025/2/13 0:00,31,33,1.1,12.6,123.6,13.3,0.511,21.4,40.8,,
2025/2/13 0:00,31,34,1.14,12.8,125,14,0.511,21.4,40.8,,
2025/2/13 0:00,32,34,1.19,13.2,116.5,12.8,0.511,21.4,40.8,,
2025/2/13 0:00,33,35,1.16,12.9,124.7,7.9,0.511,21.4,40.8,,
2025/2/13 0:00,33,35,1.16,12.9,129.4,7.5,0.511,21.4,40.8,,
2025/2/13 0:00,32,34,1.19,13.4,130.5,11.8,0.511,21.4,40.8,,
2025/2/13 0:00,32,35,1.16,13,127.1,15.2,0.511,21.4,40.8,,
2025/2/13 0:00,32,35,1.16,12.9,127.9,11.4,0.511,21.4,40.9,,
2025/2/13 0:00,32,35,1.05,11.9,131,6.1,0.511,21.4,40.9,,
2025/2/13 0:01,32.95,36.95,1.1519999999999997,12.949999999999998,123.85,11.92,0.5038,21.404999999999994,40.80999999999999,,
2025/2/13 0:01,32,34,1.07,12.5,128.7,7.3,0.503,21.4,40.8,,
2025/2/13 0:01,32,34,1.16,13.2,128.8,9.9,0.503,21.4,40.8,,
2025/2/13 0:01,31,33,1.13,12.6,125,12.6,0.508,21.4,40.8,,
2025/2/13 0:01,32,35,1.17,12.9,121.1,14.5,0.511,21.4,40.8,,
2025/2/13 0:01,32,35,1.22,13.4,111.2,20.8,0.506,21.4,40.9,,
2025/2/13 0:01,32,35,1.2,13.5,120.9,11.8,0.503,21.4,40.9,,
2025/2/13 0:01,32,35,1.17,13.3,124,13.2,0.503,21.4,40.8,,
2025/2/13 0:01,33,37,1.16,13.2,119.7,14.9,0.503,21.4,40.8,,
2025/2/13 0:01,32,35,1.2,13.5,121.4,11.6,0.503,21.4,40.8,,
2025/2/13 0:01,32,36,1.18,13.2,128.2,12.2,0.503,21.4,40.8,,
2025/2/13 0:01,34,38,1.13,12.7,128.3,13,0.503,21.4,40.8,,
2025/2/13 0:01,35,41,1.07,12.5,128.7,8.9,0.503,21.4,40.8,,
2025/2/13 0:01,34,39,1.13,12.7,128.9,2.4,0.503,21.4,40.8,,
2025/2/13 0:01,33,39,1.15,12.8,121.5,13.7,0.503,21.4,40.8,,
2025/2/13 0:01,34,39,1.14,12.9,132.9,3,0.503,21.4,40.8,,
2025/2/13 0:01,34,40,1.17,12.8,126.5,11.3,0.503,21.4,40.8,,
2025/2/13 0:01,35,40,1.17,13.2,122.5,13.2,0.503,21.4,40.8,,
2025/2/13 0:01,34,39,1.16,13.1,117.8,18.3,0.503,21.5,40.8,,
2025/2/13 0:01,33,37,1.15,12.7,119.2,15.9,0.503,21.4,40.8,,
2025/2/13 0:01,33,38,1.11,12.3,121.7,9.9,0.503,21.4,40.8,,
2025/2/13 0:02,32.55,36.45,1.1555,12.795000000000002,123.76000000000003,10.740000000000002,0.5011499999999999,21.5,40.70500000000001,,
2025/2/13 0:02,33,38,1.07,12,123.1,13.4,0.503,21.5,40.8,,
2025/2/13 0:02,33,37,1.07,12.1,122.7,18.6,0.503,21.5,40.7,,
2025/2/13 0:02,33,37,1.13,12.8,125.1,9.3,0.503,21.5,40.7,,
2025/2/13 0:02,32,36,1.18,12.8,128.1,7,0.503,21.5,40.8,,
2025/2/13 0:02,32,36,1.2,13.3,122.2,14.6,0.503,21.5,40.7,,
2025/2/13 0:02,32,35,1.19,13.2,121.7,11.3,0.503,21.5,40.7,,
2025/2/13 0:02,32,35,1.18,12.9,116.8,11.4,0.503,21.5,40.7,,
2025/2/13 0:02,31,34,1.17,12.5,117.1,9.4,0.503,21.5,40.7,,
2025/2/13 0:02,30,33,1.15,12.5,120.8,8.9,0.503,21.5,40.7,,
2025/2/13 0:02,29,31,1.15,12.4,120.5,11.5,0.503,21.5,40.7,,
2025/2/13 0:02,31,34,1.13,12.4,122.2,13.5,0.503,21.5,40.7,,
2025/2/13 0:02,33,37,1.15,13,129.8,9.5,0.503,21.5,40.7,,
2025/2/13 0:02,33,37,1.15,13.1,124.9,13.3,0.503,21.5,40.7,,
2025/2/13 0:02,34,39,1.15,12.8,122,10,0.503,21.5,40.7,,
2025/2/13 0:02,34,40,1.14,12.8,123.7,17.6,0.503,21.5,40.7,,
2025/2/13 0:02,34,39,1.16,13.1,125.4,7.3,0.498,21.5,40.7,,
2025/2/13 0:02,35,39,1.15,12.8,127,7.3,0.495,21.5,40.7,,
2025/2/13 0:02,34,38,1.16,13,126.4,8.1,0.495,21.5,40.7,,
2025/2/13 0:02,33,37,1.24,13.5,126.3,8.2,0.495,21.5,40.7,,
2025/2/13 0:02,33,37,1.19,12.9,129.4,4.6,0.495,21.5,40.6,,
2025/2/13 0:03,32.9,35.3,1.1599999999999997,12.785000000000002,121.53500000000001,11.314999999999998,0.4948499999999999,21.54500000000001,40.62000000000002,,
2025/2/13 0:03,32,35,1.12,12.4,128.2,8.2,0.495,21.5,40.6,,
2025/2/13 0:03,31,33,1.15,12.8,120.8,18.9,0.495,21.5,40.7,,
2025/2/13 0:03,31,32,1.18,12.5,119.1,14.3,0.495,21.5,40.7,,
2025/2/13 0:03,31,32,1.18,12.7,123.2,6.8,0.495,21.5,40.7,,
2025/2/13 0:03,32,33,1.15,12.6,122.9,9,0.495,21.5,40.6,,
2025/2/13 0:03,32,33,1.21,13.2,111.5,21.9,0.495,21.5,40.7,,
2025/2/13 0:03,31,32,1.16,13,124.2,10.5,0.495,21.5,40.6,,
2025/2/13 0:03,32,34,1.16,13,131.2,3.6,0.495,21.5,40.6,,
2025/2/13 0:03,32,34,1.16,13.1,133.5,4.1,0.495,21.5,40.6,,
2025/2/13 0:03,33,35,1.16,13.1,127.7,9.6,0.495,21.5,40.6,,
2025/2/13 0:03,33,36,1.21,13.3,125.2,11,0.495,21.5,40.6,,
2025/2/13 0:03,34,37,1.15,12.8,120.7,10.2,0.495,21.6,40.6,,
2025/2/13 0:03,34,37,1.15,12.6,115.9,9.6,0.495,21.6,40.6,,
2025/2/13 0:03,34,37,1.13,12.3,123.2,9.6,0.495,21.6,40.6,,
2025/2/13 0:03,35,38,1.18,12.9,115.9,19.5,0.495,21.6,40.6,,
2025/2/13 0:03,35,38,1.13,12.8,106,24,0.495,21.6,40.6,,
2025/2/13 0:03,35,38,1.16,12.9,122.9,13.3,0.495,21.6,40.6,,
2025/2/13 0:03,34,37,1.16,12.6,114.4,10.6,0.495,21.6,40.6,,
2025/2/13 0:03,33,36,1.15,12.6,120.1,8.1,0.495,21.6,40.6,,
2025/2/13 0:03,34,39,1.15,12.5,124.1,3.5,0.492,21.6,40.6,,
2025/2/13 0:04,32.45,36.3,1.1625,12.705000000000002,123.38999999999996,10.275000000000002,0.48860000000000003,21.60000000000001,40.505,,
2025/2/13 0:04,34,40,1.15,12.7,127.5,4.2,0.49,21.6,40.6,,
2025/2/13 0:04,34,40,1.16,12.8,122.9,9,0.492,21.6,40.5,,
2025/2/13 0:04,33,39,1.18,12.7,124,7,0.487,21.6,40.5,,
2025/2/13 0:04,33,38,1.26,13,128.4,5.3,0.495,21.6,40.5,,
2025/2/13 0:04,33,38,1.18,12.7,125,12.1,0.495,21.6,40.5,,
2025/2/13 0:04,32,37,1.12,12.4,131,8.9,0.487,21.6,40.5,,
2025/2/13 0:04,31,36,1.12,12,121.4,13.7,0.487,21.6,40.5,,
2025/2/13 0:04,32,36,1.12,12.2,126.6,14.1,0.487,21.6,40.5,,
2025/2/13 0:04,31,33,1.11,12.2,124.3,8.4,0.492,21.6,40.5,,
2025/2/13 0:04,33,35,1.12,12.3,121.8,10.7,0.495,21.6,40.5,,
2025/2/13 0:04,33,36,1.16,12.5,132,2.7,0.492,21.6,40.5,,
2025/2/13 0:04,31,33,1.18,12.7,123.1,7,0.487,21.6,40.5,,
2025/2/13 0:04,32,34,1.18,12.8,115.1,12.6,0.487,21.6,40.5,,
2025/2/13 0:04,31,33,1.18,13,119.7,12.1,0.487,21.6,40.5,,
2025/2/13 0:04,33,36,1.18,12.9,129,3.5,0.487,21.6,40.5,,
2025/2/13 0:04,34,38,1.26,13.4,123.5,11.7,0.487,21.6,40.5,,
2025/2/13 0:04,33,37,1.15,13,117.1,15.9,0.487,21.6,40.5,,
2025/2/13 0:04,33,37,1.15,12.9,118.2,18.9,0.487,21.6,40.5,,
2025/2/13 0:04,32,36,1.12,12.9,114.1,18.8,0.482,21.6,40.5,,
2025/2/13 0:04,31,34,1.17,13,123.1,8.9,0.482,21.6,40.5,,
2025/2/13 0:05,31.5,34.2,1.18,12.74,121.26500000000001,10.109999999999998,0.48539999999999994,21.694999999999993,40.414999999999985,,
2025/2/13 0:05,31,33,1.19,12.8,129.8,4.4,0.487,21.6,40.5,,
2025/2/13 0:05,29,30,1.16,12.6,128.1,5.7,0.487,21.7,40.5,,
2025/2/13 0:05,31,32,1.17,12.7,121.7,8.1,0.487,21.7,40.5,,
2025/2/13 0:05,30,32,1.15,12.4,117.8,9.4,0.487,21.7,40.5,,
2025/2/13 0:05,30,31,1.18,12.8,113.3,16.5,0.487,21.7,40.4,,
