,pm2d5(μg/m3),pm10(μg/m3),co(mg/m3),so2(μg/m3),no2(μg/m3),o3(μg/m3),voc(ppm),温度(℃),湿度(%),风向,风速(10m/s)
2025/2/12 13:24,0,0,0.29888888888888887,25.95555555555556,147.66666666666663,318.24444444444435,1.0490000000000002,18.266666666666666,34.31666666666667,,
2025/2/12 13:24,0,0,-3.8,47,284.3,927.1,1.758,18.1,34.5,,
2025/2/12 13:24,0,0,-1.34,52,272.7,772.1,1.508,18.1,34.5,,
2025/2/12 13:24,0,0,-0.63,43.5,250.6,627,1.383,18.2,34.5,,
2025/2/12 13:24,0,0,0.01,38.5,218.4,475.4,1.257,18.2,34.4,,
2025/2/12 13:24,0,0,0.46,37.8,189.3,383.7,1.152,18.2,34.5,,
2025/2/12 13:24,0,0,0.57,33.4,176.4,336.6,1.096,18.2,34.4,,
2025/2/12 13:24,0,0,0.72,29.1,149.1,292.4,1.063,18.2,34.4,,
2025/2/12 13:24,0,0,0.73,25.7,129.5,257.1,1.011,18.2,34.4,,
2025/2/12 13:24,0,0,0.81,24.6,127.6,226.2,0.969,18.3,34.4,,
2025/2/12 13:24,0,0,0.81,20.8,119.7,210.1,0.947,18.3,34.3,,
2025/2/12 13:24,0,0,0.81,17.7,104.2,190.9,0.916,18.3,34.2,,
2025/2/12 13:24,0,0,0.85,16.3,99.2,172.4,0.886,18.3,34.2,,
2025/2/12 13:24,0,0,0.86,13.9,95.9,165.2,0.871,18.3,34.2,,
2025/2/12 13:24,0,0,0.84,11.3,88.2,156.4,0.851,18.3,34.2,,
2025/2/12 13:24,0,0,0.87,9.8,93.2,141.1,0.831,18.4,34.2,,
2025/2/12 13:24,0,0,0.97,9.6,96.5,135,0.808,18.4,34.2,,
2025/2/12 13:24,0,0,0.92,17.3,82.1,132.2,0.792,18.4,34.1,,
2025/2/12 13:24,0,0,0.92,18.9,81.1,127.5,0.783,18.4,34.1,,
2025/2/12 13:25,0,0,0.9010000000000001,17.885,77.285,100.27000000000001,0.70685,18.54,33.80500000000001,,
2025/2/12 13:25,0,0,0.93,19,90.7,110.6,0.769,18.4,34.1,,
2025/2/12 13:25,0,0,0.91,20,83.5,116.5,0.758,18.4,34,,
2025/2/12 13:25,0,0,0.89,20.7,81.2,112.5,0.752,18.4,34,,
2025/2/12 13:25,0,0,0.91,21,81.3,111.3,0.743,18.4,34,,
2025/2/12 13:25,0,0,0.92,20.5,72.3,114.6,0.734,18.5,33.9,,
2025/2/12 13:25,0,0,0.89,20,67.4,116.4,0.725,18.5,33.9,,
2025/2/12 13:25,0,0,0.89,19.5,70.1,112.1,0.716,18.5,33.9,,
2025/2/12 13:25,0,0,0.86,18.6,74.6,100.3,0.709,18.5,33.9,,
2025/2/12 13:25,0,0,0.94,18.7,74.8,103.2,0.702,18.5,33.8,,
2025/2/12 13:25,0,0,0.91,18.3,70,96.5,0.7,18.5,33.8,,
2025/2/12 13:25,0,0,0.91,17.7,65.1,105,0.697,18.6,33.8,,
2025/2/12 13:25,0,0,0.92,17.5,69.1,100.2,0.695,18.5,33.8,,
2025/2/12 13:25,0,0,0.93,17.4,72.6,95.9,0.692,18.6,33.7,,
2025/2/12 13:25,0,0,0.91,16.3,78.8,89.5,0.689,18.6,33.7,,
2025/2/12 13:25,0,0,0.91,15.8,86.8,85.2,0.686,18.6,33.7,,
2025/2/12 13:25,0,0,0.89,15.8,88.4,86.1,0.679,18.6,33.7,,
2025/2/12 13:25,0,0,0.86,15.6,96.3,78.8,0.679,18.6,33.6,,
2025/2/12 13:25,0,0,0.86,15,77.7,88.8,0.675,18.7,33.6,,
2025/2/12 13:25,0,0,0.89,15.1,67.8,93.5,0.67,18.7,33.6,,
2025/2/12 13:25,0,0,0.89,15.2,77.2,88.4,0.667,18.7,33.6,,
2025/2/12 13:26,0,0,1.0578947368421054,14.536842105263156,93.88947368421051,78.69473684210527,0.6533684210526318,18.831578947368417,33.342105263157904,,
2025/2/12 13:26,0,0,0.89,14.5,82.5,80.7,0.666,18.7,33.5,,
2025/2/12 13:26,0,0,0.89,14.5,82.5,80.7,0.666,18.7,33.5,,
2025/2/12 13:26,0,0,0.89,14,76.8,82.8,0.665,18.7,33.5,,
2025/2/12 13:26,0,0,0.89,13.6,73,82.8,0.662,18.7,33.5,,
2025/2/12 13:26,0,0,0.88,13.7,74.7,82.1,0.659,18.8,33.5,,
2025/2/12 13:26,0,0,0.89,13.8,77.2,85.5,0.659,18.7,33.5,,
2025/2/12 13:26,0,0,0.86,13.6,80.1,84.3,0.659,18.8,33.4,,
2025/2/12 13:26,0,0,0.96,14.1,82.4,79.7,0.659,18.8,33.4,,
2025/2/12 13:26,0,0,0.96,13.6,84.5,74.4,0.657,18.8,33.4,,
2025/2/12 13:26,0,0,0.98,13.9,93.8,68.1,0.656,18.8,33.4,,
2025/2/12 13:26,0,0,1.06,14.3,90,80.6,0.654,18.8,33.3,,
2025/2/12 13:26,0,0,1.09,14.4,90.1,75.7,0.653,18.8,33.3,,
2025/2/12 13:26,0,0,1.1,14.6,97.5,75.3,0.652,18.8,33.3,,
2025/2/12 13:26,0,0,1.13,14.8,97.9,75,0.649,18.9,33.3,,
2025/2/12 13:26,0,0,1.16,14.9,95.2,78.2,0.649,18.9,33.3,,
2025/2/12 13:26,0,0,1.14,15,100,85.1,0.649,18.9,33.3,,
2025/2/12 13:26,0,0,1.14,14.9,109.4,78.2,0.649,18.9,33.2,,
2025/2/12 13:26,0,0,1.11,14.9,110.5,75.4,0.649,18.9,33.3,,
2025/2/12 13:26,0,0,1.17,15.1,117.5,68.2,0.649,18.9,33.2,,
2025/2/12 13:26,0,0,1.3,16.2,117.8,79.5,0.644,18.9,33.2,,
2025/2/12 13:26,0,0,1.39,16.8,115.5,84.3,0.641,19,33.2,,
2025/2/12 13:27,0,0,1.43,17,134.6,67.6,0.641,19,33.1,,
2025/2/12 13:27,0,0,1.43,17,134.6,67.6,0.641,19,33.1,,
2025/2/12 13:28,0,0,1.5273333333333332,38.160000000000004,344.8266666666667,275.62666666666667,0.6769333333333336,19.413333333333338,32.873333333333335,,
2025/2/12 13:28,0,0,-2.32,59.4,483.6,873.4,0.734,19.3,33,,
2025/2/12 13:28,0,0,-0.26,54.9,455.5,655.7,0.705,19.3,32.9,,
2025/2/12 13:28,0,0,0.91,52,430.9,501.1,0.696,19.4,32.9,,
2025/2/12 13:28,0,0,1.29,46,410.2,367.5,0.686,19.4,32.9,,
2025/2/12 13:28,0,0,1.63,43.7,382.3,284.3,0.676,19.4,32.9,,
2025/2/12 13:28,0,0,1.79,42.1,358.5,254,0.673,19.4,32.9,,
2025/2/12 13:28,0,0,1.95,39.4,336.5,215.8,0.67,19.4,32.9,,
2025/2/12 13:28,0,0,1.98,35.4,329.1,176.2,0.669,19.4,32.9,,
2025/2/12 13:28,0,0,2.11,33.1,306.4,148.2,0.667,19.4,32.9,,
2025/2/12 13:28,0,0,2.21,32.3,292.5,134.2,0.666,19.4,32.8,,
2025/2/12 13:28,0,0,2.25,30,293.3,125.9,0.666,19.4,32.9,,
2025/2/12 13:28,0,0,2.27,28,284.6,110.5,0.665,19.5,32.8,,
2025/2/12 13:28,0,0,2.31,26.8,273.7,99.7,0.663,19.5,32.8,,
2025/2/12 13:28,0,0,2.34,25.2,269.1,96.1,0.659,19.5,32.8,,
2025/2/12 13:28,0,0,2.45,24.1,266.2,91.8,0.659,19.5,32.8,,
2025/2/12 13:29,0,0,2.2730000000000006,26.115,209.26000000000005,72.53999999999999,0.63365,19.639999999999993,32.65,,
2025/2/12 13:29,0,0,2.45,22.9,262.7,84.9,0.656,19.5,32.8,,
2025/2/12 13:29,0,0,2.45,21.7,255,83.3,0.656,19.5,32.8,,
2025/2/12 13:29,0,0,2.43,20,245.3,86.9,0.656,19.5,32.8,,
2025/2/12 13:29,0,0,2.43,19,243.1,81.8,0.656,19.6,32.8,,
2025/2/12 13:29,0,0,2.48,18.5,224.8,83.2,0.651,19.6,32.7,,
2025/2/12 13:29,0,0,2.38,21.8,222.2,74.6,0.646,19.6,32.7,,
2025/2/12 13:29,0,0,2.31,24.2,213.2,77.6,0.638,19.6,32.7,,
2025/2/12 13:29,0,0,2.28,26.8,206.2,79.7,0.633,19.6,32.7,,
2025/2/12 13:29,0,0,2.21,28,204.7,76.6,0.633,19.6,32.7,,
2025/2/12 13:29,0,0,2.16,28.2,206.9,70.6,0.625,19.6,32.7,,
2025/2/12 13:29,0,0,2.19,28.7,207.8,67.1,0.633,19.6,32.6,,
2025/2/12 13:29,0,0,2.19,29.4,202,66.8,0.633,19.7,32.6,,
2025/2/12 13:29,0,0,2.24,30.7,193.4,68.9,0.633,19.7,32.6,,
2025/2/12 13:29,0,0,2.24,29.8,184,69.1,0.633,19.7,32.6,,
2025/2/12 13:29,0,0,2.21,29.1,186.8,56.1,0.622,19.7,32.6,,
2025/2/12 13:29,0,0,2.17,29.2,192.1,56.7,0.614,19.7,32.6,,
2025/2/12 13:29,0,0,2.18,29,191.6,58.7,0.612,19.7,32.5,,
2025/2/12 13:29,0,0,2.2,28.9,186.3,65.6,0.617,19.7,32.5,,
2025/2/12 13:29,0,0,2.15,28.5,178.3,71.2,0.617,19.8,32.5,,
2025/2/12 13:29,0,0,2.11,27.9,178.8,71.4,0.609,19.8,32.5,,
2025/2/12 13:30,0.058823529411764705,0.058823529411764705,2.1547058823529412,26.05294117647059,178.93529411764703,64.15882352941176,0.5861764705882352,19.91764705882353,32.258823529411764,,
2025/2/12 13:30,0,0,2.1466666666666665,27.599999999999998,183.86666666666667,64.73333333333333,0.6036666666666667,19.8,32.43333333333334,,
2025/2/12 13:30,0,0,2.09,27.5,184.9,69.3,0.609,19.8,32.5,,
2025/2/12 13:30,0,0,2.16,27.8,182.9,64.2,0.601,19.8,32.4,,
2025/2/12 13:30,0,0,2.19,27.5,183.8,60.7,0.601,19.8,32.4,,
2025/2/12 13:30,0,0,2.12,27,185,62.6,0.601,19.8,32.4,,
2025/2/12 13:30,0,0,2.17,26.9,183.2,68.4,0.596,19.8,32.4,,
2025/2/12 13:30,0,0,2.21,27.2,182.2,69,0.593,19.9,32.4,,
2025/2/12 13:30,0,0,2.23,27.1,188.8,64.2,0.593,19.9,32.4,,
2025/2/12 13:30,0,0,2.24,27.1,190.7,59.7,0.593,19.9,32.3,,
2025/2/12 13:30,0,0,2.21,27,192.6,59.2,0.593,19.9,32.3,,
2025/2/12 13:30,0,0,2.19,26.7,195.6,59.9,0.593,19.9,32.3,,
2025/2/12 13:30,0,0,2.19,26.1,188.7,61.3,0.584,19.9,32.2,,
2025/2/12 13:30,0,0,2.22,26.1,178.8,68.2,0.584,19.9,32.2,,
2025/2/12 13:30,0,0,2.14,25.6,166.9,73.4,0.579,19.9,32.2,,
2025/2/12 13:30,0,0,2.16,25.8,172.8,65.4,0.576,20,32.2,,
2025/2/12 13:30,0,0,2.11,25,164.2,70.8,0.576,20,32.2,,
